Actual,Predicted,Confidence
AFIB,Normal,0.5253
AFIB,Normal,0.5455
AFIB,Normal,0.606
AFIB,Normal,0.5836
AFIB,Normal,0.5011
AFIB,Normal,0.5721
AFIB,Normal,0.6409
AFIB,Normal,0.5357
AFIB,Normal,0.503
AFIB,Normal,0.6
AFIB,Normal,0.6376
AFIB,Normal,0.5552
AFIB,Normal,0.5989
AFIB,Normal,0.5746
AFIB,Normal,0.6131
AFIB,Normal,0.584
AFIB,Normal,0.6161
AFIB,Normal,0.6271
AFIB,Normal,0.5585
AFIB,Normal,0.6842
AFIB,Normal,0.6646
AFIB,Normal,0.6216
AFIB,Normal,0.578
AFIB,Normal,0.5155
AFIB,Normal,0.532
AFIB,Normal,0.5242
AFIB,Normal,0.6537
AFIB,Normal,0.7112
AFIB,Normal,0.5667
AFIB,Normal,0.5867
AFIB,Normal,0.5526
AFIB,Normal,0.5547
AFIB,Normal,0.5475
AFIB,Normal,0.6364
AFIB,Normal,0.6399
AFIB,Normal,0.5515
AFIB,Normal,0.5741
AFIB,Normal,0.6051
AFIB,Normal,0.5639
AFIB,Normal,0.6121
AFIB,Normal,0.5087
AFIB,Normal,0.582
AFIB,Normal,0.5693
AFIB,Normal,0.5134
AFIB,Normal,0.5991
AFIB,Normal,0.5328
AFIB,Normal,0.5299
AFIB,Normal,0.5792
AFIB,Normal,0.564
AFIB,Normal,0.593
AFIB,Normal,0.5103
AFIB,Normal,0.5668
AFIB,Normal,0.5611
AFIB,Normal,0.542
AFIB,Normal,0.5243
AFIB,Normal,0.7559
AFIB,Normal,0.6304
AFIB,Normal,0.6159
AFIB,Normal,0.6385
AFIB,Normal,0.6481
AFIB,Normal,0.6537
AFIB,Normal,0.6611
AFIB,Normal,0.5556
AFIB,Normal,0.5642
AFIB,Normal,0.6626
AFIB,Normal,0.6601
AFIB,Normal,0.6397
AFIB,Normal,0.6425
AFIB,Normal,0.6498
AFIB,Normal,0.6271
AFIB,Normal,0.5655
AFIB,Normal,0.6276
AFIB,Normal,0.6505
AFIB,Normal,0.6566
AFIB,Normal,0.6797
AFIB,Normal,0.656
AFIB,Normal,0.6566
AFIB,Normal,0.6607
AFIB,Normal,0.6706
AFIB,Normal,0.6531
AFIB,Normal,0.6182
AFIB,Normal,0.626
AFIB,Normal,0.5962
AFIB,Normal,0.6244
AFIB,Normal,0.6127
AFIB,Normal,0.6394
AFIB,Normal,0.6426
AFIB,Normal,0.6462
AFIB,Normal,0.6251
AFIB,Normal,0.6313
AFIB,Normal,0.6512
AFIB,Normal,0.6492
AFIB,Normal,0.6424
AFIB,Normal,0.5855
AFIB,Normal,0.5651
AFIB,Normal,0.6358
AFIB,Normal,0.6468
AFIB,Normal,0.6374
AFIB,Normal,0.6226
AFIB,Normal,0.635
AFIB,Normal,0.6372
AFIB,Normal,0.642
AFIB,Normal,0.6503
AFIB,Normal,0.6504
AFIB,Normal,0.6566
AFIB,Normal,0.6345
AFIB,Normal,0.622
AFIB,Normal,0.6644
AFIB,Normal,0.6503
AFIB,Normal,0.6033
AFIB,Normal,0.5928
AFIB,Normal,0.5936
AFIB,Normal,0.6529
AFIB,Normal,0.6519
AFIB,Normal,0.6384
AFIB,Normal,0.6462
AFIB,Normal,0.6457
AFIB,Normal,0.6249
AFIB,Normal,0.6282
AFIB,Normal,0.6559
AFIB,Normal,0.6316
AFIB,Normal,0.641
AFIB,Normal,0.6633
AFIB,Normal,0.644
AFIB,Normal,0.646
AFIB,Normal,0.5721
AFIB,Normal,0.5706
AFIB,Normal,0.6485
AFIB,Normal,0.647
AFIB,Normal,0.6263
AFIB,Normal,0.6335
AFIB,Normal,0.6729
AFIB,Normal,0.6646
AFIB,Normal,0.63
AFIB,Normal,0.6274
AFIB,Normal,0.6301
AFIB,Normal,0.6493
AFIB,Normal,0.667
AFIB,Normal,0.6439
AFIB,Normal,0.6384
AFIB,Normal,0.649
AFIB,Normal,0.6242
AFIB,Normal,0.6397
AFIB,Normal,0.6675
AFIB,Normal,0.6402
AFIB,Normal,0.6394
AFIB,Normal,0.6483
AFIB,Normal,0.6589
AFIB,Normal,0.6439
AFIB,Normal,0.643
AFIB,Normal,0.657
